author_name,rating,text
Min Chih Chou,5,場館交通滿方便，離大安捷運站近，離公車站也近。機械器材品質很不錯，好用穩定。
高信文,5,很好的運動環境。舒服的運動場館。交通便捷、價格親民，小資族運動的首選環境。自由教練依賴放心的交學環境
Simon Tseng,5,器材有越來越多的趨勢，場地費用便宜，希望大家一起讓器材歸位~打造更美好的健身計畫面
王家暉,5,地點真的超級方便，收費便宜，該有的器材都有很充足，現場也有很多高手可以學習～
恩恩,5,"空間感舒適，提供一個良好場地訓練及教學
位置靠近捷運站，非常方便！"
Pinus Sylvestris,3,場地偏小不算很大，有氧器材只有一種類型稍嫌單調，啞鈴最小從5kg起跳，對女性比較沒那麼友善，如果有1kg間隔的啞鈴塔較好，此外，瑜珈墊的材質過軟太薄，稍嫌廉價，也不知是否有每日消毒，也沒有看到可以隨手使用的抹布和酒精。（您不擦好歹放些工具讓我們可以擦？😓）雖有草皮是好事但上面的紙屑灰塵有點多到不可思議，廁所的清潔程度也不太行，飲水機還是用有經過水質檢驗的機種比較好吧！不然喝起來總覺得怕怕的，說真的幾乎已經沒看到這種老式的飲水機種了，很神奇😅冷氣呢也不太冷，綜上所述，可理解 …
Aaron Yang,1,"本來的月費制突然取消了
還找一堆藉口⋯
為了錢這種吃相真的難看"
Jason Jason,1,"八月才修完的冷氣，現在九月又壞了！！！

八月整整修了兩週欸
這次竟然說不知道要多久
可以再誇張一點
熱到死人才打算認真處理嗎？"
Tz-shin Lai,5,"這邊真的地點真的很棒!
器材新，進出不須綁約可以用悠遊卡進出，真的大推呀!!!"
L C,5,環境好，以附近健身房來說是計時制非常便利，如果以freeway的練法來說這里非常適合
哈囉,1,一開始加入會員，要開卡費600，現在突然要取消會員制度......那請問600要退給大家？還是就這樣吃掉了？
Lee Hong,1,"冷氣壞了一週以上，說至少兩週才修得好，騙人沒修過冷氣啊，什麼爛服務態度

地下室悶熱又不通風，每天30度是要練屁啊，還沒動就滿身汗，會員補償方案也沒個影，超級爛"
weimin hsiao,5,"場地蠻寬敞不錯
器材新穎
雖然在地下室蛋空氣是流通的
希望能繼續保持良好的環境"
李梓維,5,"工作人員友善親切，不懂的會介紹器材
消費方式無壓力
環境舒適，空氣流通，空間超大
器材樣式多，夠齊全
交通方便靠近大安捷運站。"
YUN,1,月費制取消沒有緊急公告 app及line都沒有通知 根本蓄意要隱瞞
Edward,4,"整體還不錯 滿舒服的
但啞鈴順序都沒有按照重量放
而且啞鈴上面的數字標示不清楚
不太方便找需要的重量
望改進"
Kyle Bai,3,"1分鐘1塊錢，能用悠遊卡入場還算不錯
但是廁所那尿垢真的不敢恭維......"
吳天元,5,設備多，但可惜設備的教學都沒有說明，沒有教練指導自己是不能搞定的。
陳致嘉,2,"今天第一次去體驗
聽說有入場試用三次
但app在填資料時 一直當停在那 閃退重開
就跟我說 喔那這樣體驗就沒囉
只能付費進場
實在不太能接受"
李育維,5,地點方便，空間算寬敞，費用無壓力，悠遊卡就可進場，冷氣修好空氣有好一點
PigPig Hung,3,服務人員很客氣，但平日晚上稍嫌擁擠，在6/30被檢定為消防安全 不 合 格 場所喔，把公告貼在角落呢
shao,4,器材蠻豐富的！櫃檯人員很熱情
Tingchia Hsu,5,方便，好停摩托車
